year,month,metro,city,houseCnt,powerUsage,bill,latitude,longitude
2022,7,서울특별시,종로구,86990,247.97,32224,37.5652129,126.9773517
2022,7,서울특별시,성동구,138948,292.51,34899,37.5652129,126.9773517
2022,7,서울특별시,강북구,156862,240.39,26110,37.5652129,126.9773517
2022,7,서울특별시,도봉구,148519,273.18,28699,37.5652129,126.9773517
2022,7,서울특별시,구로구,204678,268.74,29946,37.5652129,126.9773517
2022,7,서울특별시,동작구,201042,255.33,29519,37.5652129,126.9773517
2022,7,서울특별시,강남구,264224,339.96,47400,37.5652129,126.9773517
2022,7,서울특별시,성북구,212204,270.41,31005,37.5652129,126.9773517
2022,7,서울특별시,은평구,227822,277.69,32427,37.5652129,126.9773517
2022,7,서울특별시,중랑구,196869,257.83,29160,37.5652129,126.9773517
2022,7,서울특별시,마포구,195426,285.32,34408,37.5652129,126.9773517
2022,7,서울특별시,강서구,287642,260.4,29152,37.5652129,126.9773517
2022,7,서울특별시,금천구,127314,248.8,28167,37.5652129,126.9773517
2022,7,서울특별시,영등포구,210532,268.87,31827,37.5652129,126.9773517
2022,7,서울특별시,송파구,286333,309.82,38525,37.5652129,126.9773517
2022,7,서울특별시,관악구,297385,215.63,23580,37.5652129,126.9773517
2022,7,서울특별시,중구,73585,274.91,34367,37.5652129,126.9773517
2022,7,서울특별시,용산구,123494,305.3,44430,37.5652129,126.9773517
2022,7,서울특별시,광진구,185083,253.34,30976,37.5652129,126.9773517
2022,7,서울특별시,서초구,180422,354.07,51227,37.5652129,126.9773517
2022,7,서울특별시,양천구,190999,300.22,35090,37.5652129,126.9773517
2022,7,서울특별시,강동구,206238,297.05,35194,37.5652129,126.9773517
2022,8,서울특별시,광진구,185386,304.81,38863,37.5652129,126.9773517
2022,8,서울특별시,노원구,224470,332.64,33675,37.5652129,126.9773517
2022,8,서울특별시,금천구,127534,293.14,34021,37.5652129,126.9773517
2022,8,서울특별시,중랑구,197066,307.45,35383,37.5652129,126.9773517
2022,8,서울특별시,은평구,228905,330.36,39894,37.5652129,126.9773517
2022,8,서울특별시,양천구,191029,366.28,45341,37.5652129,126.9773517
2022,8,서울특별시,영등포구,211314,313.57,37919,37.5652129,126.9773517
2022,8,서울특별시,성동구,138887,360.35,45007,37.5652129,126.9773517
2022,8,서울특별시,동작구,201077,307.63,37224,37.5652129,126.9773517
2022,8,서울특별시,송파구,286408,376.61,48741,37.5652129,126.9773517
2022,8,서울특별시,성북구,212280,333.8,40550,37.5652129,126.9773517
2022,8,서울특별시,도봉구,148585,322.33,34873,37.5652129,126.9773517
2022,8,서울특별시,마포구,196871,333.35,41625,37.5652129,126.9773517
2022,8,서울특별시,강서구,287742,315.85,36631,37.5652129,126.9773517
2022,8,서울특별시,구로구,204752,323.04,37225,37.5652129,126.9773517
2022,8,서울특별시,강동구,206271,350.96,43417,37.5652129,126.9773517
2022,8,서울특별시,종로구,86954,290.4,39694,37.5652129,126.9773517
2022,8,서울특별시,용산구,123481,365.2,57672,37.5652129,126.9773517
2022,8,서울특별시,서대문구,161950,317.91,38125,37.5652129,126.9773517
2022,8,서울특별시,중구,74001,308.74,39286,37.5652129,126.9773517
2022,8,서울특별시,동대문구,191224,305.11,35499,37.5652129,126.9773517
2022,8,서울특별시,강북구,157067,293.05,32962,37.5652129,126.9773517
2022,8,서울특별시,서초구,180342,416.03,63773,37.5652129,126.9773517
2022,8,서울특별시,강남구,265793,378.1,53882,37.5652129,126.9773517
2022,8,서울특별시,관악구,297577,259.42,29470,37.5652129,126.9773517
2022,9,서울특별시,성동구,139021,296.86,33974,37.5652129,126.9773517
2022,9,서울특별시,강북구,157104,237.38,24796,37.5652129,126.9773517
2022,9,서울특별시,노원구,224420,259.53,24746,37.5652129,126.9773517
2022,9,서울특별시,영등포구,211628,246.27,27620,37.5652129,126.9773517
2022,9,서울특별시,관악구,297689,207.29,22413,37.5652129,126.9773517
2022,9,서울특별시,강남구,265965,287.62,36703,37.5652129,126.9773517
2022,9,서울특별시,강서구,288588,254.2,27420,37.5652129,126.9773517
2022,9,서울특별시,서초구,180173,321.46,43609,37.5652129,126.9773517
2022,9,서울특별시,은평구,229034,262.58,29083,37.5652129,126.9773517
2022,9,서울특별시,금천구,127826,232.88,25694,37.5652129,126.9773517
2022,9,서울특별시,종로구,86933,226,28388,37.5652129,126.9773517
2022,9,서울특별시,광진구,185666,238.03,27767,37.5652129,126.9773517
2022,9,서울특별시,중랑구,197361,245.53,26285,37.5652129,126.9773517
2022,9,서울특별시,도봉구,148677,251.94,25664,37.5652129,126.9773517
2022,9,서울특별시,서대문구,162238,247.18,27688,37.5652129,126.9773517
2022,9,서울특별시,송파구,286429,299.99,35255,37.5652129,126.9773517
2022,9,서울특별시,동대문구,191304,250.79,27382,37.5652129,126.9773517
2022,9,서울특별시,성북구,212363,277.97,31463,37.5652129,126.9773517
